Thời gian,Tiêu đề,URL
15/03/2017 19:03,Yêu cầu VNPT giải trình chậm tái cơ cấu công ty Tài chính PTFinance,https://cafef.vn/yeu-cau-vnpt-giai-trinh-cham-tai-co-cau-cong-ty-tai-chinh-ptfinance-20170315190317237.chn
09/03/2017 07:00,VNPT bổ nhiệm Phó Tổng giám đốc phụ trách phát triển mảng CNTT,https://cafef.vn/vnpt-bo-nhiem-pho-tong-giam-doc-phu-trach-phat-trien-mang-cntt-20170308210748645.chn
01/03/2017 14:01,"Thị trường chứng khoán “ấm lên”, nhiều tổ chức đua thoái vốn khỏi ngân hàng nhỏ",https://cafef.vn/thi-truong-chung-khoan-am-len-nhieu-to-chuc-dua-thoai-von-khoi-ngan-hang-nho-20170301134518377.chn
08/02/2017 10:42,VNPT muốn thoái vốn tại MaritimeBank với giá khởi điểm 11.900 đồng/cổ phiếu,https://cafef.vn/vnpt-muon-thoai-von-tai-maritimebank-voi-gia-khoi-diem-11900-dongco-phieu-20170208104155578.chn
13/01/2017 12:07,Cổ phần hóa VNPT và Mobifone: Nhà nước sẽ bán ra tối thiểu 35% cổ phần,https://cafef.vn/co-phan-hoa-vnpt-va-mobifone-nha-nuoc-se-ban-ra-toi-thieu-35-co-phan-20170113120641795.chn
22/12/2016 21:45,"Lợi nhuận của VNPT năm 2016 đạt 4.162 tỷ đồng, tăng trưởng trên 20%",https://cafef.vn/loi-nhuan-cua-vnpt-nam-2016-dat-4162-ty-dong-tang-truong-tren-20-20161222201259152.chn
15/12/2016 13:52,"Thaco vượt qua Vinamilk, trở thành doanh nghiệp tư nhân lớn nhất Việt Nam",https://cafef.vn/du-lieu/vnpt-870346/thaco-vuot-qua-vinamilk-tro-thanh-doanh-nghiep-tu-nhan-lon-nhat-viet-nam.chn
05/12/2016 12:30,Thoái vốn đầu tư ngoài ngành: VNPT thu về 1.044 tỷ đồng,https://cafef.vn/du-lieu/vnpt-813496/thoai-von-dau-tu-ngoai-nganh-vnpt-thu-ve-1044-ty-dong.chn
18/10/2016 12:06,Sẽ trình Chính phủ cơ chế đặc biệt cho VNPT,https://cafef.vn/du-lieu/vnpt-888106/se-trinh-chinh-phu-co-che-dac-biet-cho-vnpt.chn
05/10/2016 08:17,"Nghịch lý công bố thông tin DNNN: Vì đâu tin tốt còn ""lười đi khoe""",https://cafef.vn/du-lieu/vnpt-803032/nghich-ly-cong-bo-thong-tin-dnnn-vi-dau-tin-tot-con-luoi-di-khoe.chn
27/09/2016 19:57,VNPT ký thành công hợp đồng để bước chân vào thị trường Iran,https://cafef.vn/du-lieu/vnpt-873172/vnpt-ky-thanh-cong-hop-dong-de-buoc-chan-vao-thi-truong-iran.chn
19/09/2016 21:31,"Công ty Sam Media “móc túi” các thuê bao Viettel, MobiFone, VinaPhone, Vietnamobile gần 230,5 tỷ đồng",https://cafef.vn/du-lieu/vnpt-815824/cong-ty-sam-media-moc-tui-cac-thue-bao-viettel-mobifone-vinaphone-vietnamobile-gan-2305-ty-dong.chn
06/09/2016 18:00,"Lợi nhuận của Viettel gấp 3,7 lần VNPT, MobiFone cộng lại",https://cafef.vn/du-lieu/vnpt-855559/loi-nhuan-cua-viettel-gap-37-lan-vnpt-mobifone-cong-lai.chn
31/08/2016 11:52,"Cuối quý 2/2016, VNPT nắm giữ 1,7 tỷ đô tiền mặt và các khoản đầu tư tài chính",https://cafef.vn/du-lieu/vnpt-822166/cuoi-quy-22016-vnpt-nam-giu-17-ty-do-tien-mat-va-cac-khoan-dau-tu-tai-chinh.chn
16/08/2016 20:51,"Thị giá xấp xỉ 10.000 đồng, VNPT tính thoái toàn bộ vốn khỏi Hacisco (HAS) với giá tối thiểu 16.100 đồng/cp",https://cafef.vn/du-lieu/vnpt-852856/thi-gia-xap-xi-10000-dong-vnpt-tinh-thoai-toan-bo-von-khoi-hacisco-has-voi-gia-toi-thieu-16100-dongcp.chn
04/08/2016 18:57,"Chủ tịch VNPT: ""Chúng tôi đề xuất với Chính phủ được sở hữu 20% vốn điều lệ của MobiFone""",https://cafef.vn/du-lieu/vnpt-820351/chu-tich-vnpt-chung-toi-de-xuat-voi-chinh-phu-duoc-so-huu-20-von-dieu-le-cua-mobifone.chn
04/08/2016 17:57,Thủ tướng muốn VNPT tìm người tài chứ không phải tìm người nhà khi tái cơ cấu,https://cafef.vn/du-lieu/vnpt-818509/thu-tuong-muon-vnpt-tim-nguoi-tai-chu-khong-phai-tim-nguoi-nha-khi-tai-co-cau.chn
01/08/2016 17:00,"Điện thoại bàn dần trôi vào dĩ vãng, VNPT thành kẻ độc hành trên con đường chịu lỗ ngàn tỉ",https://cafef.vn/du-lieu/vnpt-1263349/dien-thoai-ban-dan-troi-vao-di-vang-vnpt-thanh-ke-doc-hanh-tren-con-duong-chiu-lo-ngan-ti.chn
23/07/2016 07:39,"Thu nhập nhân viên Viettel đạt gần 31 triệu đồng/tháng, gần gấp đôi VNPT",https://cafef.vn/du-lieu/vnpt-820654/thu-nhap-nhan-vien-viettel-dat-gan-31-trieu-dongthang-gan-gap-doi-vnpt.chn
18/07/2016 16:53,"Tròn 1 năm chia tay Mobifone: VNPT đang đứng dậy mạnh mẽ, Viettel có thấy lo lắng?",https://cafef.vn/du-lieu/vnpt-1251862/tron-1-nam-chia-tay-mobifone-vnpt-dang-dung-day-manh-me-viettel-co-thay-lo-lang.chn
18/07/2016 07:36,"Khối tài sản 100 tỷ USD mà ""Siêu ủy ban"" doanh nghiệp quản lý có những gì?",https://cafef.vn/du-lieu/vnpt-784483/khoi-tai-san-100-ty-usd-ma-sieu-uy-ban-doanh-nghiep-quan-ly-co-nhung-gi.chn
12/07/2016 12:36,Lợi nhuận cả năm của Vinaphone chỉ bằng lãi của Viettel trong 7 ngày,https://cafef.vn/du-lieu/vnpt-1258546/loi-nhuan-ca-nam-cua-vinaphone-chi-bang-lai-cua-viettel-trong-7-ngay.chn
28/06/2016 11:26,"VNPT trước nguy cơ bị đối thủ ""ăn mất"" thị phần Internet tại VN",https://cafef.vn/du-lieu/vnpt-1185634/vnpt-truoc-nguy-co-bi-doi-thu-an-mat-thi-phan-internet-tai-vn.chn
23/06/2016 08:37,Cựu Giám đốc chiến lược FPT Nguyễn Hữu Thái Hòa về đầu quân cho VNPT,https://cafef.vn/du-lieu/vnpt-1216123/cuu-giam-doc-chien-luoc-fpt-nguyen-huu-thai-hoa-ve-dau-quan-cho-vnpt.chn
31/12/2015 08:00,Thị trường viễn thông Việt Nam: Lợi nhuận Viettel gấp 4 lần VNPT và Mobifone cộng lại,https://cafef.vn/du-lieu/vnpt-1206391/thi-truong-vien-thong-viet-nam-loi-nhuan-viettel-gap-4-lan-vnpt-va-mobifone-cong-lai.chn
29/11/2015 14:03,"Lợi nhuận của PVN, Viettel lớn tới cỡ nào?",https://cafef.vn/du-lieu/vnpt-930358/loi-nhuan-cua-pvn-viettel-lon-toi-co-nao.chn
21/10/2015 17:36,"VNPT chào bán 71,5 triệu cp Maritime Bank, giá khởi điểm 11.700 đồng",https://cafef.vn/du-lieu/vnpt-847537/vnpt-chao-ban-715-trieu-cp-maritime-bank-gia-khoi-diem-11700-dong.chn
28/09/2015 11:32,VNPT chào bán gần 72 triệu cổ phiếu MaritimeBank,https://cafef.vn/du-lieu/vnpt-942205/vnpt-chao-ban-gan-72-trieu-co-phieu-maritimebank.chn
25/08/2015 09:46,"VNPT, MobiFone “ngóng” lương kiểu Viettel",https://cafef.vn/du-lieu/vnpt-857338/vnpt-mobifone-ngong-luong-kieu-viettel.chn
05/08/2015 16:54,Ngày 11/8 sẽ ra mắt Tổng công ty VNPT VinaPhone,https://cafef.vn/du-lieu/vnpt-914023/ngay-118-se-ra-mat-tong-cong-ty-vnpt-vinaphone.chn
29/07/2015 16:06,Cổ phần hóa DN viễn thông nhà nước: Bài học kinh nghiệm từ Malaysia và ASEAN,https://cafef.vn/du-lieu/vnpt-794650/co-phan-hoa-dn-vien-thong-nha-nuoc-bai-hoc-kinh-nghiem-tu-malaysia-va-asean.chn
22/07/2015 23:45,VNPT và kết quả kinh doanh bất ngờ khi không còn MobiFone,https://cafef.vn/du-lieu/vnpt-798385/vnpt-va-ket-qua-kinh-doanh-bat-ngo-khi-khong-con-mobifone.chn
16/05/2015 00:17,Chính thức thành lập 3 tổng công ty trực thuộc VNPT,https://cafef.vn/du-lieu/vnpt-809416/chinh-thuc-thanh-lap-3-tong-cong-ty-truc-thuoc-vnpt.chn
10/04/2015 17:28,Giới hạn khuyến mại: Kịch bản 3 “ông lớn” bắt tay có lặp lại?,https://cafef.vn/du-lieu/vnpt-839572/gioi-han-khuyen-mai-kich-ban-3-ong-lon-bat-tay-co-lap-lai.chn
09/04/2015 17:38,"VNPT đăng ký thoái toàn bộ 8,5% cổ phần tại SPT",https://cafef.vn/du-lieu/vnpt-806281/vnpt-dang-ky-thoai-toan-bo-85-co-phan-tai-spt.chn
10/03/2015 16:44,NT2: Tập Đoàn Bưu Chính Viễn Thông Việt Nam (VNPT) đã bán 4.911.900 CP,https://cafef.vn/du-lieu/vnpt-924805/nt2-tap-doan-buu-chinh-vien-thong-viet-nam-vnpt-da-ban-4911900-cp.chn
