Thời gian,positive,neutral,negative,số_bài_báo
2025-04-02,0.0186,0.9794,0.0019,1
2025-04-09,0.528,0.4364,0.0356,1
2025-04-18,0.419,0.575,0.006,1
2025-04-21,0.313,0.6715,0.0154,1
2025-04-22,0.0769,0.9224,0.0007,1
2025-04-23,0.0006,0.9984,0.001,1
2025-04-28,0.4351,0.5625,0.0024,2
2025-05-07,0.0019,0.9979,0.0002,1
2025-05-08,0.1686,0.8307,0.0007,1
2025-05-13,0.0235,0.9635,0.013,4
2025-05-15,0.3542,0.3735,0.2723,2
2025-05-19,0.0116,0.9876,0.0009,2
2025-05-20,0.4501,0.5481,0.0018,1
2025-05-23,0.0037,0.9955,0.0009,1
2025-05-24,0.249,0.7467,0.0043,1
2025-05-27,0.6089,0.3378,0.0533,1
2025-05-28,0.0038,0.986,0.0102,2
2025-05-29,0.0226,0.9697,0.0077,2
2025-06-06,0.2655,0.6867,0.0478,1
2025-06-08,0.0665,0.9151,0.0185,1
2025-06-12,0.3392,0.4563,0.2045,1
2025-06-16,0.0235,0.9757,0.0008,1
2025-06-18,0.0765,0.9223,0.0012,2
2025-06-19,0.0045,0.9947,0.0008,1
2025-06-23,0.0112,0.9817,0.0071,1
2025-06-25,0.0333,0.9656,0.0011,1
2025-06-27,0.1824,0.8134,0.0042,5
2025-06-30,0.0836,0.9131,0.0033,2
2025-07-01,0.0037,0.996,0.0003,1
2025-07-02,0.0017,0.9977,0.0007,2
2025-07-03,0.001,0.9981,0.0009,1
2025-07-04,0.1537,0.8153,0.0311,2
2025-07-15,0.0604,0.8894,0.0502,1
2025-07-18,0.0011,0.9969,0.0021,2
2025-07-28,0.2872,0.2051,0.5076,1
2025-07-30,0.0097,0.9892,0.001,4
2025-08-11,0.0176,0.9792,0.0032,3
2025-08-13,0.5045,0.493,0.0025,1
2025-08-14,0.024,0.8827,0.0934,2
2025-08-19,0.0359,0.9449,0.0191,4
2025-08-20,0.014,0.7795,0.2064,2
2025-08-21,0.0031,0.9945,0.0024,3
2025-08-22,0.1491,0.8475,0.0034,3
2025-08-27,0.0079,0.9903,0.0017,1
2025-08-28,0.0517,0.9296,0.0187,1
2025-09-04,0.0067,0.9439,0.0494,1
2025-09-07,0.7518,0.247,0.0012,1
2025-09-10,0.0038,0.9956,0.0006,1
2025-09-15,0.0021,0.9965,0.0014,1
2025-09-17,0.2529,0.5501,0.197,1
2025-09-25,0.5081,0.4823,0.0096,3
2025-09-30,0.0253,0.9711,0.0036,1
2025-10-02,0.2128,0.7117,0.0754,1
2025-10-13,0.0008,0.9986,0.0005,1
2025-10-15,0.0122,0.9775,0.0103,3
2025-10-19,0.7388,0.1158,0.1454,1
2025-10-24,0.0061,0.9923,0.0016,1
