Thời gian,Tiêu đề,URL
24/04/2025 18:09,"Tổng Giám đốc Lester Tan: Sabeco là công ty bia nội địa thuần túy, chỉ bán ở Việt Nam và chưa có kế hoạch niêm yết quốc tế",https://cafef.vn/tong-giam-doc-lester-tan-sabeco-la-cong-ty-bia-noi-dia-thuan-tuy-chi-ban-o-viet-nam-va-chua-co-ke-hoach-niem-yet-quoc-te-188250424172320135.chn
17/04/2025 16:34,SAB: Link công bố báo cáo thường niên năm 2024,https://cafef.vn/du-lieu/SAB-2175406/sab-link-cong-bo-bao-cao-thuong-nien-nam-2024.chn
17/04/2025 00:00,SAB: Link công bố báo cáo phát triển bền vững năm 2024,https://cafef.vn/du-lieu/SAB-2181662/sab-link-cong-bo-bao-cao-phat-trien-ben-vung-nam-2024.chn
08/04/2025 11:15,"Cổ phiếu hiếm hoi tăng giá giữa lúc VN-Index ""rơi"" hơn 70 điểm, doanh nghiệp muốn chi thêm hàng nghìn tỷ tiền cổ tức cho cổ đông",https://cafef.vn/co-phieu-hiem-hoi-tang-gia-giua-luc-vnindex-roi-hon-70-diem-doanh-nghiep-muon-chi-them-hang-nghin-ty-tien-co-tuc-cho-co-dong-188250408111520659.chn
07/04/2025 00:05,"Công ty bia lớn nhất Việt Nam muốn nâng cổ tức tiền mặt lên 50%, cổ phiếu bất ngờ ""lùi"" về đáy lịch sử",https://cafef.vn/cong-ty-bia-lon-nhat-viet-nam-muon-nang-co-tuc-tien-mat-len-50-co-phieu-bat-ngo-lui-ve-day-lich-su-188250406225353425.chn
04/04/2025 18:53,Sabeco trình cổ đông kế hoạch nâng tỷ lệ cổ tức năm 2024 lên 50%,https://cafef.vn/sabeco-trinh-co-dong-ke-hoach-nang-ty-le-co-tuc-nam-2024-len-50-188250404184131529.chn
02/04/2025 00:00,SAB: Thông báo tài liệu họp ĐHĐCĐ thường niên năm 2025,https://cafef.vn/du-lieu/SAB-2164075/sab-thong-bao-tai-lieu-hop-dhdcd-thuong-nien-nam-2025.chn
02/04/2025 00:00,SAB: Thông báo mời họp ĐHĐCĐ thường niên năm 2025,https://cafef.vn/du-lieu/sab-2164129/sab-thong-bao-moi-hop-dhdcd-thuong-nien-nam-2025.chn
18/02/2025 16:07,"Doanh thu Sabeco lên cao nhất 2 năm, 'cơn bão' thổi nồng độ cồn đã ở phía sau?",https://cafef.vn/du-lieu/sab-2132609/doanh-thu-sabeco-len-cao-nhat-2-nam-con-bao-thoi-nong-do-con-da-o-phia-sau.chn
16/02/2025 08:50,"Giá nhôm tăng vùn vụt, 'đe dọa' công ty bia lớn nhất Việt Nam",https://cafef.vn/du-lieu/sab-2131371/gia-nhom-tang-vun-vut-de-doa-cong-ty-bia-lon-nhat-viet-nam.chn
