Thời gian,Tiêu đề,URL,Nội dung
2025-09-16 15:23:00,"Hoá chất Đức Giang (DGC) tăng vốn cho 'quả đấm thép' ở Nghi Sơn lên 2.900 tỷ, 50% sản lượng có đối tác bao tiêu",https://cafef.vn/hoa-chat-duc-giang-dgc-tang-von-cho-qua-dam-thep-o-nghi-son-len-2900-ty-50-san-luong-co-doi-tac-bao-tieu-188250916152314367.chn,"HĐQT CTCP Tập đoàn Hóa chất Đức Giang vừa thông qua nghị quyết điều chỉnh Giấy chứng nhận đăng ký đầu tư cho dự án số 1 tại Tổ hợp Hóa chất Đức Giang Nghi Sơn. Theo đó, tổng vốn đầu tư được nâng từ 2.400 tỷ lên 2.900 tỷ đồng, đồng thời bổ sung các sản phẩm mới cho giai đoạn 2 của nhà máy
CTCP Tập đoàn Hóa chất Đức Giang (DGC)
Dự án số 1 là một phần trong đại dự án tổ hợp hóa chất Đức Giang Nghi Sơn có tổng vốn đầu tư lên tới 12.000 tỷ đồng, được chia làm 3 phân kỳ. Trên quy mô 30ha tại Khu kinh tế Nghi Sơn (Thanh Hóa), dự án này đã được khởi công vào ngày 17/2 vừa qua.
Tổ hợp Hoá chất Nghi Sơn Đức Giang  được xây dựng tại Khu kinh tế Nghi Sơn, tỉnh Thanh Hóa.
Trong một động thái mới nhất vào ngày 15/9/2025, HĐQT Hóa chất Đức Giang đã phê duyệt một loạt thay đổi quan trọng cho dự án. Lý do cho việc mở rộng được Công ty đưa ra là do nhu cầu thị trường đối với các loại hóa chất như Kali Sunfat (K2SO4), H2O2, và đặc biệt là ắc quy bình đang ở mức cao.
Cụ thể, dự án sẽ được mở rộng thêm giai đoạn 2, bổ sung công suất thiết kế 75.500 tấn hóa chất/năm và sản phẩm ắc quy bình. Các sản phẩm mới bao gồm Kali Sunfat (20.000 tấn/năm), H2O2 (15.000 tấn/năm), hóa chất tinh khiết cơ bản (500 tấn/năm) và ắc quy bình (2.000.000 kWh/năm, tương đương 40.000 tấn/năm). Để thực hiện giai đoạn 2, DGC đã điều chỉnh tổng vốn đầu tư cho cả hai giai đoạn lên 2.900 tỷ đồng , tăng 500 tỷ đồng so với kế hoạch ban đầu.
Sản phẩm DGC tại Triễn lãm Thành Tựu 2025. Ảnh DGC
Về mặt thương mại, dự án đã có đầu ra tương đối chắc chắn. Theo cập nhật từ Chứng khoán MB (MBS), Tổng Công ty Hóa chất và Dịch vụ Dầu khí (PVC) đã ký hợp đồng bao tiêu 30% sản lượng giai đoạn 1. Cùng với cam kết từ các khách hàng khác, tổng sản lượng đã có hợp đồng bao tiêu đã lên đến 50% công suất. MBS nhận định đây sẽ là động lực tăng trưởng chủ chốt cho DGC trong năm 2026, dự kiến đóng góp khoảng 1.200 tỷ đồng doanh thu.
Tiến độ dự án cũng được điều chỉnh lại. Giai đoạn 1 dự kiến sẽ hoàn thành và đi vào hoạt động trong quý II/2026. Giai đoạn 2 sẽ bắt đầu thủ tục đầu tư từ quý III/2025 và dự kiến đi vào hoạt động từ quý IV/2027. Riêng dây chuyền sản xuất ắc quy bình sẽ được triển khai theo 3 đợt, kéo dài từ quý III/2026 đến quý I/2033.
Động thái mở rộng đầu tư của DGC diễn ra trong bối cảnh kết quả kinh doanh nửa đầu năm 2025 ghi nhận sự tăng trưởng. Doanh thu 6 tháng đạt hơn 5.700 tỷ đồng, tăng 16,6% và lợi nhuận sau thuế đạt 1.728 tỷ đồng, tăng 9% so với cùng kỳ. Với kết quả này, DGC đã hoàn thành 57,6% kế hoạch lợi nhuận cả năm.
Nhà máy DGC ở Lào Cai. Ảnh DGC
Nền tảng cho các kế hoạch đầu tư này là sức khỏe tài chính vững chắc. Tại ngày 30/6/2025, tổng tài sản của DGC đạt 18.098 tỷ đồng, trong đó lượng tiền và tiền gửi ngân hàng lên tới 12.178 tỷ đồng, chiếm đến 66% tổng tài sản.
Cũng trong ngày 15/9, HĐQT DGC đã thông qua việc giải tỏa 8.537.213 cổ phiếu ESOP phát hành năm 2022. Thời gian giải tỏa bắt đầu từ ngày 23/09/2025, sau khi kết thúc thời gian hạn chế chuyển nhượng 3 năm."
2025-09-15 17:34:00,DGC: Nghị quyết HĐQT về việc thông qua giải tỏa cổ phiếu ESOP 2022,https://cafef.vn/du-lieu/DGC-2296572/dgc-nghi-quyet-hdqt-ve-viec-thong-qua-giai-toa-co-phieu-esop-2022.chn,
2025-09-15 00:00:00,"DGC: Nghị quyết HĐQT thông qua điều chỉnh GCN Đăng ký Đầu tư ""Dự án số 1, Tổ hợp hóa chất Đức Giang Nghi Sơn""",https://cafef.vn/du-lieu/DGC-2297070/dgc-nghi-quyet-hdqt-thong-qua-dieu-chinh-gcn-dang-ky-dau-tu-du-an-so-1-to-hop-hoa-chat-duc-giang-nghi-son.chn,
2025-08-21 00:08:00,"Nỗi buồn giữa uptrend: FPT, DGC cùng mất mốc 100.000 đồng/cp trong một ngày",https://cafef.vn/noi-buon-giua-uptrend-fpt-dgc-cung-mat-moc-100000-dongcp-trong-mot-ngay-188250821000843529.chn,
2025-08-19 07:15:00,Những ‘đại gia’ đem tiền mặt đi trả hết nợ vẫn còn hơn chục nghìn tỷ,https://cafef.vn/nhung-dai-gia-dem-tien-mat-di-tra-het-no-van-con-hon-chuc-nghin-ty-188250819071520593.chn,
2025-08-15 00:00:00,DGC: Giải trình chênh lệch LNST 6 tháng đầu năm 2025 so với cùng kỳ năm trước,https://cafef.vn/du-lieu/DGC-2271893/dgc-giai-trinh-chenh-lech-lnst-6-thang-dau-nam-2025-so-voi-cung-ky-nam-truoc.chn,
2025-08-14 00:00:00,DGC: Báo cáo thay đổi về sở hữu của nhóm nhà đầu tư nước ngoài có liên quan là cổ đông lớn,https://cafef.vn/du-lieu/DGC-2271362/dgc-bao-cao-thay-doi-ve-so-huu-cua-nhom-nha-dau-tu-nuoc-ngoai-co-lien-quan-la-co-dong-lon.chn,
2025-08-06 16:07:00,Hóa chất Đức Giang đặt mục tiêu lãi 880 tỷ đồng trong quý III/2025,https://cafef.vn/hoa-chat-duc-giang-dat-muc-tieu-lai-880-ty-dong-trong-quy-iii2025-188250806155615065.chn,
2025-08-05 00:00:00,"DGC: Nghị quyết HĐQT thông qua kết quả SXKD quý 2/2025, kế hoạch SXKD quý 3/2025",https://cafef.vn/du-lieu/DGC-2268374/dgc-nghi-quyet-hdqt-thong-qua-ket-qua-sxkd-quy-22025-ke-hoach-sxkd-quy-32025.chn,
2025-07-30 00:00:00,DGC: Báo cáo tình hình quản trị 6 tháng đầu năm 2025,https://cafef.vn/du-lieu/DGC-2282630/dgc-bao-cao-tinh-hinh-quan-tri-6-thang-dau-nam-2025.chn,
