time,open,high,low,close,volume,SMA_5,SMA_20,EMA_10,Momentum_3,Momentum_10,RSI_14,MACD,MACD_Signal,BB_Upper,BB_Lower,OBV,BB_Middle,CTD_article_count,CTD_dominant_sentiment,CTD_negative,CTD_neutral,CTD_positive,CTD_sentiment_score,DBC_article_count,DBC_dominant_sentiment,DBC_negative,DBC_neutral,DBC_positive,DBC_sentiment_score,DIG_article_count,DIG_dominant_sentiment,DIG_negative,DIG_neutral,DIG_positive,DIG_sentiment_score,HSG_article_count,HSG_dominant_sentiment,HSG_negative,HSG_neutral,HSG_positive,HSG_sentiment_score,NKG_article_count,NKG_dominant_sentiment,NKG_negative,NKG_neutral,NKG_positive,NKG_sentiment_score,SMC_article_count,SMC_dominant_sentiment,SMC_negative,SMC_neutral,SMC_positive,SMC_sentiment_score,SSI_article_count,SSI_dominant_sentiment,SSI_negative,SSI_neutral,SSI_positive,SSI_sentiment_score,VCB_article_count,VCB_dominant_sentiment,VCB_negative,VCB_neutral,VCB_positive,VCB_sentiment_score,VHM_article_count,VHM_dominant_sentiment,VHM_negative,VHM_neutral,VHM_positive,VHM_sentiment_score,VIC_article_count,VIC_dominant_sentiment,VIC_negative,VIC_neutral,VIC_positive,VIC_sentiment_score
2024-01-01,21.29,21.33,20.79,20.79,22196509.0,21.042,20.771,20.867921057116494,-0.010941960038059,0.0317617866004962,43.06569343065691,0.2121496685269583,0.2102487491665611,21.346386369045156,20.19561363095485,828033716.0,20.771,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0
2024-01-02,21.29,21.33,20.79,20.79,22196509.0,21.042,20.771,20.867921057116494,-0.010941960038059,0.0317617866004962,43.06569343065691,0.2121496685269583,0.2102487491665611,21.346386369045156,20.19561363095485,828033716.0,20.771,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0
2024-01-03,20.76,21.06,20.76,21.06,18581664.0,21.042,20.792,20.90284450127713,-0.005196032120926,0.0218340611353711,56.64062499999999,0.2141844678402868,0.2110358929013062,21.377818365957825,20.206181634042174,846615380.0,20.792,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,1.0,negative,0.9957,0.0028,0.0016,-0.9941,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,1.0,neutral,0.0006,0.7561,0.2434,0.24280000000000002,0.0,unknown,0.0,0.0,0.0,0.0
2024-01-04,21.06,21.29,20.98,21.02,38548706.0,21.042,20.7975,20.92414550104492,-0.0070854983467171,0.0198932557011159,61.18143459915612,0.210146951999274,0.2108581047208998,21.390010270840424,20.20498972915957,808066674.0,20.7975,1.0,positive,0.0009,0.1676,0.8315,0.8306,0.0,unknown,0.0,0.0,0.0,0.0,2.0,negative,0.6118,0.3599,0.0283,-0.5835,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0
2024-01-05,21.02,21.14,20.87,21.06,17340693.0,21.02,20.805,20.948846319036758,0.0129870129870128,0.0218340611353711,67.11711711711703,0.2077797022435028,0.2102424242254204,21.40722394855177,20.202776051448225,825407367.0,20.805,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,1.0,neutral,0.0138,0.7864,0.1998,0.186,1.0,positive,0.0046,0.3435,0.6519,0.6473,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0
2024-01-06,21.02,21.14,20.87,21.06,17340693.0,21.02,20.805,20.948846319036758,0.0129870129870128,0.0218340611353711,67.11711711711703,0.2077797022435028,0.2102424242254204,21.40722394855177,20.202776051448225,825407367.0,20.805,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,1.0,positive,0.0003,0.0087,0.991,0.9907
2024-01-07,21.02,21.14,20.87,21.06,17340693.0,21.02,20.805,20.948846319036758,0.0129870129870128,0.0218340611353711,67.11711711711703,0.2077797022435028,0.2102424242254204,21.40722394855177,20.202776051448225,825407367.0,20.805,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0
2024-01-08,21.17,21.4,21.1,21.1,31258576.0,21.006,20.811,20.976328806484617,0.0018993352326686,0.0297706198145437,72.51184834123222,0.2067480427226726,0.2095435479248709,21.4228789009865,20.1991210990135,856665943.0,20.811,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0
2024-01-09,21.14,21.17,20.83,20.98,28631164.0,21.044,20.8185,20.976996296214686,-0.0019029495718363,0.0091390091390091,60.45197740112993,0.1940110098476921,0.2064370403094351,21.435019090922943,20.201980909077054,828034779.0,20.8185,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,1.0,positive,0.0002,0.0023,0.9975,0.9973000000000001,0.0,unknown,0.0,0.0,0.0,0.0
2024-01-10,20.98,21.02,20.64,20.72,32654545.0,20.976,20.796,20.93026969690292,-0.0161443494776828,-0.0161443494776828,52.7093596059113,0.1610801606168941,0.1973656643709269,21.39097545283183,20.201024547168167,795380234.0,20.796,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,1.0,positive,0.0005,0.4852,0.5143,0.5138,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,1.0,positive,0.0258,0.0419,0.9323,0.9065,0.0,unknown,0.0,0.0,0.0,0.0,1.0,positive,0.0724,0.3097,0.6179,0.5455
